03C,"Eggs found dirty, cracked; liquid, frozen or powdered eggs not pasteurized.",,,,
03C,"Eggs found dirty/cracked; liquid, frozen or powdered eggs not pasteurized.",,,,
03D,"Canned food product observed swollen, leaking, rusted, severely dented.",,,,
03D,"Canned food product observed swollen, leaking, and rusted.",,,,
03D,"Canned food product observed swollen, leaking or rusted, and not segregated from other consumable food items .",,,,
03E,Potable water supply inadequate. Water or ice not potable or from unapproved source.  Cross connection in potable water supply system observed.,,,,
03E,Potable water system inadequate. Water or ice not potable or from unapproved source. Cross connection in potable water supply system observed.,,,,
03E,Potable water supply inadequate. Water or ice not potable or from unapproved source.  Cross connection in potable water supply system observed.,,,,
03F,Unpasteurized milk or milk product present.,,,,
03F,Unpasteurized milk or milk product present.,,,,
03G,"Milk or milk product undated, improperly dated or expired.",,,,
03G,Raw food not properly washed prior to serving.,,,,
03H,Raw food not properly washed prior to serving.,,,,
04A,"Food from unapproved or unknown source, spoiled, adulterated, or home canned.",,,,
04A,Food Protection Certificate not held by supervisor of food operations.,,,,
04A,Food Protection Certificate not held by supervisor of food operations.,,,,
04B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",,,,
04B,"Food worker prepares food or handles utensil when ill with a disease transmissible by food, or have exposed infected cut or burn on hand.",,,,
04B,"Food worker prepares food or handles utensil when ill with a disease transmissible by food, or have exposed infected cut or burn on their hand.",,,,
04B,"Food worker prepares food or handles utensil when ill with a disease transmissible by food, or have exposed infected cut or burn on hand.",,,,
04C,"Eggs found dirty, cracked; liquid, frozen or powdered eggs not pasteurized.",,,,
04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,,,,
04D,"Canned food product observed swollen, leaking, rusted, severely dented.",,,,
04D,"Food worker does not wash hands thoroughly after visiting the toilet, coughing, sneezing, smoking, preparing raw foods or otherwise contaminating hands.",,,,
04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",,,,
04E,Potable water supply inadequate. Water or ice not potable or from unapproved source.  Cross connection in potable water supply system observed.,,,,
04E,"Toxic chemical improperly labeled, stored or used so that contamination of food may occur.",,,,
04E,"Toxic chemical improperly labeled, stored or used so that contamination of food may occur.",,,,
04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",,,,
04F,Unpasteurized milk or milk product present.,,,,
04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by <a    onmouseover=ShowContent('S1'",,,,
04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",,,,
04G,"Milk or milk product undated, improperly dated or expired.",,,,
04G,Unprotected potentially hazardous food re-served.,,,,
04G,Unprotected potentially hazardous food re-served.,,,,
04H,"Food in contact with utensil, container, or pipe that consist of toxic material.",,,,
04H,"Food in contact with utensil, container, or pipe that consist of toxic material.",,,,
04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",,,,
04I,Cooked or prepared food is cross-contaminated.,,,,
04I,"Food item spoiled, adulterated, contaminated or cross-contaminated.",,,,
04I,Unprotected food re-served.,,,,
04J,Unprotected food re-served.,,,,
04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",,,,
04K,Thawing procedures improper.,,,,
04K,"Appropriately scaled metal stem-type thermometer not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",,,,
04K,"Appropriately scaled metal stem-type thermometer not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",,,,
04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,,,,
04L,"Appropriately scaled metal stem-type thermometer not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",,,,
04L,Evidence of rats or live rats present in facility's food and/or non-food areas.,,,,
04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,,,,
04M,Evidence of rats or live rats present in facility.,,,,
04M,Evidence of mice or live mice present in facility's food and/or non-food areas.,,,,
04M,Live roaches present in facility's food and/or non-food areas.,,,,
04N,Evidence of mice or live mice present in facility.,,,,
04N,Evidence of roaches or live roaches present in facility's food and/or non-food areas.,,,,
04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",,,,
04O,Evidence of roaches or live roaches present in facility.,,,,
04O,Evidence of flying insects or live flying insects present in facility's food and/or non-food areas.,,,,
04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,,,,
04P,"Evidence of, or live flies/other insects present in facility.",,,,
04P,Other live animal present in facility's food and/or non-food areas.,,,,
04Q,Live animal present in facility.,,,,
05A,"Food worker prepares food or handles utensil when ill with a disease transmissible by food, or have exposed infected cut or burn on hand.",,"'05A')"">disease transmissible by food</a>"," or have exposed infected cut or burn on their hand.""",
05A,Sewage disposal system improper or unapproved.,,,,
05B,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,,,,
05B,"Harmful, noxious gas or vapor detected. Carbon Monoxide &#8805; 13 ppm.",,,,
05B,"Harmful, noxious gas or vapor detected. CO &gt; 13 ppm.",,,,
05B,"Harmful, noxious gas or vapor detected. CO > 13 ppm.",,,,
05B,"Harmful, noxious gas or vapor detected. CO ~1 3 ppm.",,,,
05C,"Food worker does not wash hands thoroughly after visiting the toilet, coughing, sneezing, smoking, preparing raw foods or otherwise contaminating hands.",,,,
05C,Food contact surface improperly constructed or located. Unacceptable material used.,,,,
05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure not provided at facility. Soap and an acceptable hand-drying device not provided.,,,,
05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,,,,
05E,Toilet facility not provided for employees or for patrons when required.,,,,
05F,Refrigerated or hot holding equipment to keep <a    onmouseover=ShowContent('P4',"'05F'); return true;""     href=""javascript:ShowContent('P4'","'05F')"">potentially hazardous foods</a> at required temperatures not provided.""",,
05F,Refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures not provided.,,,,
05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,,,,
05G,Sufficient refrigerated or hot holding equipment not provided to meet proper time and temperature requirements for <a    onmouseover=ShowContent('P4',"'05G'); return true;""     href=""javascript:ShowContent('P4'","'05G')"">potentially hazardous foods</a>.""",,
05G,Sufficient refrigerated or hot holding equipment not provided to meet proper time and temperature requirements for potentially hazardous foods.,,,,
05G,Properly enclosed service/maintenance area not provided.,,,,
05H,Properly enclosed service/maintenance area not provided.,,,,
05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",,,,
05I,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying condition.",,, hazardous," offensive or annoying condition."""
05I,"No facility available to wash, rinse, and sanitize utensils and/or equipment not provided.",,,,
05I,Refrigeration used to implement HACCP plan not equipped with an electronic system that continuously monitors time and temperature.,,,,
05J,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying condition.",,"'05J')"">Nuisance</a> created or allowed to exist. Facility not free from unsafe", hazardous," offensive or annoying condition."""
05J,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying condition.",,,,
06A,"Toxic chemical improperly labeled, stored or used so that contamination of food may occur.","'06A'); return true;""     href=""javascript:ShowContent('T3'","'06A')"">Toxic chemical</a> improperly labeled"," stored or used so that contamination of food may occur.""",
06A,"Personal cleanliness inadequate. Clean outer garments, effective hair restraint not worn.",,,,
06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,,,,
06B,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by <a    onmouseover=ShowContent('S1'","'06B'); return true;""     href=""javascript:ShowContent('S1'","'06B')"">sewage</a> or liquid waste.""",,
06B,"Tobacco use, eating, drinking in food preparation, food storage or dishwashing area observed.",,,,
06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",,,,
06C,Unprotected food re-served.,"'06C'); return true;""     href=""javascript:ShowContent('P4'","'06C')"">potentially hazardous food</a> re-served.""",,
06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",,,,
06D,"Food in contact with utensil, container, or pipe that consist of toxic material.",,,,
06D,"Food contact surface not properly maintained or not washed, rinsed and sanitized after each use and following any activity when contamination may have occurred",,,,
06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",,,,
06E,Cooked or prepared food is cross contaminated.,,,,
06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",,,,
06F,"Appropriately scaled metal stem-type thermometer not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",,,,
06F,Wiping cloths dirty or not stored in sanitizing solution.,,,,
06F,Wiping cloths soiled or not stored in sanitizing solution.,,,,
06G,"Live animal present in food storage, preparation or service area. Citation may include and is not limited to cockroaches, flies, mice, rats, cats, and dogs.",,,,
06G,Acceptable facilities to wash rinse and sanitize utensils not provided.,,,,
06G,HACCP plan not approved and/or approved plan not on premises,,,,
06G,HACCP plan not approved or approved HACCP plan not maintained on premises.,,,,
06H,Detail not available in this format.,,,,
06H,Records and logs not maintained to demonstrate proper implementation of HACCP plan.,,,,
06H,Records and logs not maintained to demonstrate that HACCP plan has been properly implemented.,,,,
06I,Food not labelled in accordance with HACCP plan.,,,,
06I,Food not labeled in accordance with HACCP plan.,,,,
07A,Sewage disposal system improper or unapproved.,,,,
07A,Facility not vermin proof. Harborage or conditions conducive to vermin exist.,,,,
07A,Administration other,,,,
07A,Interference with or obstruction of duties of an officer of the department.,,,,
07A,Duties of an officer of the Department interfered with or obstructed.,,,,
07B,"Harmful, noxious gas or vapor detected. CO &#8805; 13 ppm.",,,,
07B,Garbage receptacles not provided or inadequate. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.,,,,
07B,Food Temperature,,,,
07C,Food contact surface improperly constructed or located. Unacceptable material used.,,,,
07C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,,,,
07C,Food Source,,,,
07D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure not provided at facility.,,,,
07D,Food Protection,,,,
07E,Toilet facility not provided for employees or for patrons when required.,,,,
07E,Facility Design,,,,
07F,Refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures not provided.,,,,
07F,Personal Hygiene and other food protection,,,,
07F,Personal Hygiene,,,,
07G,Sufficient refrigerated or hot holding equipment not provided to meet proper time and temperature requirements for potentially hazardous foods.,,,,
07H,Dimensions of mobile food unit exceed prescribed limits.,,,,
07I,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying condition.",,,,
08A,"Personal cleanliness inadequate. Clean outer garment, effective hair restraint not worn.",,,,
08A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",,,,
08A,Facility not vermin proof. Harborage or conditions conducive to vermin exist.,,,,
08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,,,,
08B,"Tobacco use, eating, drinking in food preparation, food storage or dishwashing area observed.",,,,
08B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,,,,
08B,Garbage receptacles not provided or inadequate. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.,,,,
08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",,,,
08C,"Hand wash facility not properly maintained, provided with soap and an acceptable hand-drying device.",,,,
08C,Lighting inadequate. Fixture not shielded.,,,,
08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,,,,
08D,"Ventilation system not provided, improperly installed or in disrepair.",,,,
08E,Accurate thermometer not provided in refrigerated or hot holding equipment.,,,,
08F,"Equipment not easily movable or sealed to floor, adjoining equipment, adjacent walls or ceiling. Aisle or workspace inadequate.",,,,
08G,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained.,,,,
08H,Food service operation occurring in room used as living or sleeping quarters.,,,,
08I,Minimum final rinse temperature of 170&#176;F or proper chemical and temperature levels not maintained in manual utensil washing operation.,,,,
08J,Mechanical dishwasher not operated as per manufacturer's specifications (time/temperature/chemical concentration); machine defective.,,,,
08K,"Immersion basket not provided, used or of incorrect size. Incorrect manual technique. Test kit and thermometer not provided or used. Improper drying practices.",,,,
08L,"Single service item reused, improperly stored, dispensed; not used when required.",,,,
08M,Detail not available in this format.,,,,
09A,Raw food not properly washed prior to serving.,,,,
09A,Permit not conspicuously displayed.,,,,
09A,Canned food product observed severely dented.,,,,
09A,Canned food product observed dented and not segregated from other consumable food items.,,,,
09B,Thawing procedures improper.,,,,
09B,Manufacture of frozen dessert not authorized on Food Service Establishment permit.,,,,
09B,"Milk or milk product undated, improperly dated or expired.",,,,
09C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",,,,
09C,Failure of event sponsor to exclude vendor without a current valid permit or registration.,,,,
09C,Thawing procedures improper.,,,,
09C,Food contact surface not properly maintained.,,,,
09D,"Food contact surface not properly maintained or not washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",,,,
09D,"""Choking first aid"" poster not posted.",,,,
09E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",,,,
09E,"""Alcohol and pregnancy"" warning sign not posted.",,,,
09F,Wiping cloths dirty or not stored in sanitizing solution.,,,,
09F,"""Wash hands"" sign not posted at hand wash facility.",,,,
09G,Acceptable facilities to wash rinse and sanitize utensils not provided.,,,,
09G,"Resuscitation equipment: exhaled air resuscitation masks (adult &amp; pediatric), latex gloves, sign not posted.",,,,
09H,Unprotected food re-served.,,,,
09H,Inspection report sign not posted.,,,,
10A,Vermin or other live animal present in non-food area.,,,,
10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",,,,
10B,Facility not vermin proof. Harborage or conditions conducive to vermin exist.,,,,
10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,,,,
10C,Garbage receptacles not provided or inadequate. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.,,,,
10C,Lighting inadequate. Fixture not shielded.,,,,
10C,Lighting inadequate. Bulb not shielded or shatterproof.,,,,
10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",,,,
10D,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,,,,
10D,"Ventilation system not provided, improperly installed or in disrepair.",,,,
10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",,,,
10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,,,,
10F,"Equipment not easily movable or sealed to floor, adjoining equipment, adjacent walls or ceiling. Aisle or workspace inadequate.",,,,
10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",,,,
10G,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained.,,,,
10G,Food service operation occurring in room used as living or sleeping quarters.,,,,
10H,Proper sanitization not provided for utensil ware washing operation.,,,,
10I,Minimum final rinse temperature of 170°F or proper chemical and temperature levels not maintained in manual utensil washing operation.,,,,
10I,"Single service item reused, improperly stored, dispensed; not used when required.",,,,
10J,Mechanical dishwasher not operated as per manufacturer's specifications (time/temperature/chemical concentration); machine defective.,,,,
10J,"""Wash hands” sign not posted at hand wash facility.",,,,
10K,"Immersion basket not provided, used or of incorrect size. Incorrect manual technique. Test kit and thermometer not provided or used. Improper drying practices.",,,,
10L,"Single service item reused, improperly stored, dispensed; not used when required.",,,,
10M,"""Wash Hands"" sign not posted at hand wash facility.",,,,
11A,Permit or license not conspicuously displayed.,,,,
11B,Manufacture of frozen dessert not authorized on Food Service Establishment permit.,,,,
11C,Failure of event sponsor to exclude vendor without a current valid permit or registration.,,,,
11D,"Choking first aid"" poster not posted.""Alcohol and Pregnancy"" Warning sign not posted. ""Wash hands"" sign not posted at hand wash facility. Resuscitation equipment: exhaled air resuscitation masks(adult & pediatric)",,,,
12A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",,,,
12A,Other general violation.,,,,
12A,ROP processing equipment not approved by DOHMH,,,,
12B,Plumbing not properly installed or maintained; antisiphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,,,,
12C,Lighting inadequate. Fixture not shielded.,,,,
12D,"Ventilation system not provided, improperly installed or in disrepair.",,,,
12E,Accurate thermometer not provided in refrigerated or hot holding equipment.,,,,
12F,"Equipment not easily movable or sealed to floor, adjoining equipment, adjacent walls or ceiling. Aisle or workspace inadequate.",,,,
12G,Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained.,,,,
12H,Food service operation occurring in room used as living or sleeping quarters.,,,,
13A,Minimum final rinse temperature of 170&#176;F or proper chemical and temperature levels not maintained in manual utensil washing operation.,,,,
13B,Mechanical dishwasher not operated as per manufacturer's specifications (time/temperature/chemical concentration); machine defective.,,,,
13C,"Immersion basket not provided, used or of incorrect size. Incorrect manual technique. Test kit and thermometer not provided or used. Improper drying practices.",,,,
13D,"Single service item reused, improperly stored, dispensed; not used when required.",,,,
13E,Detail not available in this format.,,,,
14A,"""Choking first aid"" poster not posted.",,,,
14B,"""Alcohol and pregnancy"" warning sign not posted.",,,,
14C,"""Wash hands"" sign not posted at hand wash facility.",,,,
14D,"Resuscitation equipment: exhaled air resuscitation masks (adult &amp; pediatric), latex gloves, sign not posted.",,,,
14E,Inspection report sign not posted.,,,,
15A,Tobacco vending machine present where prohibited.,,,,
15B,Tobacco vending machine placed less than 25' from entrance to premises.,,,,
15C,"Tobacco vending machine not visible to the operator, employee or agent.",,,,
15D,"Durable sign with license number, expiration date, and address and phone number not posted.",,,,
15E,Out-of package sale of tobacco products observed.,,,,
15F,Employee under the age of 18 selling tobacco products without direct supervision of an adult retail dealer or dealer.,,,,
15G,Sale to minor observed.,,,,
15H,Sign prohibiting sale of tobacco products to minors not conspicuously posted.,,,,
15I,"""No Smoking” and/or 'Smoking Permitted” sign not conspicuously posted. Health warning not present on 'Smoking Permitted”",,,,
15J,Ashtray present in smoke-free area.,,,,
15K,Operator failed to make good faith effort to inform smokers of the Smoke-free Act prohibition of smoking.,,,,
15L,Certificate of Seating Capacity not available.,,,,
15L,"Smoke free workplace smoking policy inadequate, not posted or provided to employees.",,,,
15M,Use of tobacco product on school premises (at or below the 12th grade level) observed.,,,,
15N,Detail not available in this format.,,,,
15N,Other/Employee in separate smoking room.,,,,
15N,Smoking permitted and/or allowed in smoking prohibited area under the operator’s control.,,,,
15O,Sale of herbal cigarettes to minors observed.,,,,
15P,No tobacco health warning and smoking cessation sign(s) are posted.,,,,
15Q,Tobacco health warning and smoking cessation sign(s) are obstructed and/or not prominently displayed.,,,,
15R,No large tobacco health warning and smoking cessation sign is posted where tobacco products are displayed; small sign(s) are not posted at each register or place of payment.,,,,
15S,Flavored tobacco products sold or offered for sale.,,,,
15T,Original label for tobacco products sold or offered for sale.,,,,
16A,"A food containing 0.5 grams or more of artificial trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item or served.",,,,
16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturer's documentation not maintained on site.",,,,
16C,"Caloric content not posted on menus, menu boards or food tags.",,,,
16D,"Posted caloric content on the menu(s), menu board(s), food tag(s) or stanchions adjacent to menu boards for drive-through windows deficient, in that the size and/or font for posted calories is not as prominent as the name of the menu item or its price.",,,,
16E,Caloric content range (minimum to maximum) not posted on menus and or menu,,,,
16F,"Specific caloric content or range thereof not posted on menus, menu boards or food tags for each menu item offered as a combination meal with multiple options that are listed as single items.",,,,
18A,"Current valid permit, registration or other authorization to operate establishment not available.",,,,
18B,"Document issued by the Board of Health, Commissioner or Department unlawfully reproduced or altered.",,,,
18C,"Notice of the Department or Board of Health mutilated, obstructed, or removed.",,,,
18D,"Failure to comply with an Order of the Board of Health, Commissioner, or Department.",,,,
18E,Failure to report occurrences of suspected food borne illness to the Department.,,,,
18F,Permit not conspicuously displayed.,,,,
18G,Manufacture of frozen dessert not authorized on Food Service Establishment permit.,,,,
18H,Failure of event sponsor to exclude vendor without a current valid permit or registration.,,,,
18I,"Choking first aid poster not posted. Alcohol and Pregnancy warning sign, inspection report sign; not posted. CPR sign not posted, equipment (resuscitation masks, adult & pediatric, latex gloves) not provided.",,,,
20A,Food allergy information poster not conspicuously posted where food is being prepared or processed by food workers.,,,,
20B,Food allergy information poster not posted in language understood by all food workers.,,,,
20C,Food allergy poster does not contain text provided or approved by Department.,,,,
20D,"“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted. Inspection report sign not posted.",,,,
20E,Letter Grade or Grade Pending card not conspicuously posted and visible to passersby.,,,,
20F,Current letter grade card not posted.,,,,
22A,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying conditions.",,,,
22B,Toilet facility used by women does not have at least one covered garbage receptacle.,,,,
22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",,,,
22E,ROP processing equipment not approved by DOHMH.,,,,
99B,Other general violation.,,,,
